GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS698166130	2019-01-14 03:58:06.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-14	07:45:00	obsr668639	S51658678	Traveling	P22	EBIRD	70	1.5		1	1		1	0	0			Single one was being mobbed by Chestnut tailed  starlings and black drongos. Photo will be uploaded later.	
URN:CornellLabOfOrnithology:EBIRD:OBS701041204	2019-01-22 06:23:22.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			seen two different locations	
URN:CornellLabOfOrnithology:EBIRD:OBS701374168	2019-02-03 01:29:24.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr809396	S51894818	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			seen two different locations	
URN:CornellLabOfOrnithology:EBIRD:OBS701368145	2019-01-22 06:23:22.0	3271	species	Fork-tailed Drongo-Cuckoo	Surniculus dicruroides			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr509242	S51923583	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			seen two different locations	
URN:CornellLabOfOrnithology:EBIRD:OBS702570824	2019-01-27 02:55:08.0	3153	species	Asian Koel	Eudynamys scolopaceus			6				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-17	07:30:00	obsr348755	S52022299	Traveling	P22	EBIRD_CAN	180	3		2	1		0	0	0		with VJ Zacharias		
URN:CornellLabOfOrnithology:EBIRD:OBS701369817	2019-02-10 10:11:57.0	19822	species	Indian Paradise-Flycatcher	Terpsiphone paradisi			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420	9.656		4	0		0	0	0			Present in large number	
URN:CornellLabOfOrnithology:EBIRD:OBS700958208	2019-01-21 06:02:57.0	3234	species	Banded Bay Cuckoo	Cacomantis sonneratii			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-21	09:55:00	obsr668639	S51890023	Stationary	P21	EBIRD_CL	60			2	1		1	0	0		Observers: Mohan CP and Polly Kalamassery	Picture taken	
URN:CornellLabOfOrnithology:EBIRD:OBS697658334	2019-01-12 23:42:58.0	7719	species	Besra	Accipiter virgatus			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Padamugal--DLF New Town Heights	L8253269	H	10.010242	76.3478082	2019-01-13	09:45:00	obsr1197849	S51617349	Stationary	P21	EBIRD_IND	17			1	1		1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS693584897	2019-01-13 01:42:08.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad--Soma Birds Lagoon	L3648178	H	10.0976736	76.7158967	2019-01-04	15:41:00	obsr188371	S51297507	Traveling	P22	EBIRD	381	8		3	1	G3721034	1	0	0			Photos	
URN:CornellLabOfOrnithology:EBIRD:OBS693614995	2019-01-13 01:44:18.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					(10.0976,76.7169)	L8365724	P	10.097632	76.716917	2019-01-04	15:41:00	obsr1159040	S51300078	Traveling	P22	EBIRD	381	8		3	1	G3721034	1	0	0			Photos	
URN:CornellLabOfOrnithology:EBIRD:OBS704570718	2019-01-29 22:43:50.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Neriamangalam(Sub Cell- 58,21,7)	L4881775	H	10.058424	76.7576873	2019-01-18	09:00:00	obsr1202646	S52193099	Traveling	P22	EBIRD	180	2		10	1	G3812405	1	0	0			single member of the species was seen..identified by typical physical appearance	
URN:CornellLabOfOrnithology:EBIRD:OBS701708052	2019-01-29 22:43:50.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Neriamangalam(Sub Cell- 58,21,7)	L4881775	H	10.058424	76.7576873	2019-01-18	09:00:00	obsr681470	S51949782	Traveling	P22	EBIRD	180	2		10	1	G3812405	1	0	0			single member of the species was seen..identified by typical physical appearance	
URN:CornellLabOfOrnithology:EBIRD:OBS696471595	2019-01-10 01:07:13.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kerala, IN (10.103, 76.701)	L8400571	P	10.1029361	76.7011983	2019-01-06	15:30:00	obsr973438	S51515173	Traveling	P22	EBIRD_IND	220	6		5	1	G3744548	0	0	0			Seen in the Jungle	
URN:CornellLabOfOrnithology:EBIRD:OBS702109109	2019-02-11 03:51:07.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad	L8478813	P	10.1029459	76.7013173	2019-01-21	06:45:00	obsr652032	S51957668	Traveling	P22	EBIRD	420	15		3	1		1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS696472089	2019-01-10 01:07:13.0	9302	species	Black-backed Dwarf-Kingfisher	Ceyx erithaca			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kerala, IN (10.103, 76.701)	L8400571	P	10.1029361	76.7011983	2019-01-06	15:30:00	obsr1104011	S51515208	Traveling	P22	EBIRD_IND	220	6		5	1	G3744548	0	0	0			Seen in the Jungle	
URN:CornellLabOfOrnithology:EBIRD:OBS701019710	2019-02-03 01:29:24.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr809396	S51894818	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			When we reached the location we saw two bird photographers and they told us that they saw 6 black baza at a time.	
URN:CornellLabOfOrnithology:EBIRD:OBS701019773	2019-01-22 06:23:22.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr638917	S51894819	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			When we reach the location we saw two bird photographers,and they told us that they seen 6 black baza at a time.	
URN:CornellLabOfOrnithology:EBIRD:OBS701019647	2019-01-22 06:23:22.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			When we reach the location we saw two bird photographers,and they told us that they seen 6 black baza at a time.	
URN:CornellLabOfOrnithology:EBIRD:OBS700962359	2019-01-21 06:12:49.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	09:15:00	obsr668639	S51890245	Stationary	P21	EBIRD	45			5	1		0	0	0			Photograhed.-- Will be uploaded later.	
URN:CornellLabOfOrnithology:EBIRD:OBS701368094	2019-01-22 06:23:22.0	7382	species	Black Baza	Aviceda leuphotes			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr509242	S51923583	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	1	0	0			When we reach the location we saw two bird photographers,and they told us that they seen 6 black baza at a time.	
URN:CornellLabOfOrnithology:EBIRD:OBS701369798	2019-02-10 10:11:57.0	19436	species	Black Drongo	Dicrurus macrocercus			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420	9.656		4	0		0	0	0			Present in large number	
URN:CornellLabOfOrnithology:EBIRD:OBS699317438	2019-01-28 08:55:34.0	9261	species	Blue-eared Kingfisher	Alcedo meninting			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-17	07:00:00	obsr948471	S51755668	Traveling	P22	EBIRD	300	13		2	0		0	0	0			.	
URN:CornellLabOfOrnithology:EBIRD:OBS702570792	2019-01-27 02:55:08.0	19379	species	Black-hooded Oriole	Oriolus xanthornus			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-17	07:30:00	obsr348755	S52022299	Traveling	P22	EBIRD_CAN	180	3		2	1		0	0	0		with VJ Zacharias		
URN:CornellLabOfOrnithology:EBIRD:OBS701369851	2019-02-10 10:11:57.0	10947	species	Black-rumped Flameback	Dinopium benghalense			16				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420	9.656		4	0		0	0	0			Present in large number	
URN:CornellLabOfOrnithology:EBIRD:OBS702570787	2019-01-27 02:55:08.0	23938	species	Blyth's Reed Warbler	Acrocephalus dumetorum			6				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-17	07:30:00	obsr348755	S52022299	Traveling	P22	EBIRD_CAN	180	3		2	1		0	0	0		with VJ Zacharias		
URN:CornellLabOfOrnithology:EBIRD:OBS701368120	2019-01-22 06:23:22.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3			Female, Adult (1); Male, Adult (1); Unknown Sex, Adult (1)	India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr509242	S51923583	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	0	0	0			Seen several locations	
URN:CornellLabOfOrnithology:EBIRD:OBS701019799	2019-01-22 06:23:22.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr638917	S51894819	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	0	0	0			Seen several locations	
URN:CornellLabOfOrnithology:EBIRD:OBS701019673	2019-01-22 06:23:22.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3			Female, Adult (1); Male, Adult (1); Unknown Sex, Adult (1)	India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr527144	S51894817	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	0	0	0			Seen several locations	
URN:CornellLabOfOrnithology:EBIRD:OBS701019736	2019-02-03 01:29:24.0	10584	species	Brown-capped Woodpecker	Yungipicus nanus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kalamassery--HMT Estate Area	L2678116	H	10.0517898	76.33937	2019-01-20	07:13:00	obsr809396	S51894818	Traveling	P22	EBIRD	145	2.6		4	1	G3783244	0	0	0			Seen several locations	
URN:CornellLabOfOrnithology:EBIRD:OBS698976433	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858	76.252261	2019-01-13	07:25:00	obsr668448	S51653198	Traveling	P22	EBIRD_IND	216	4.55		15	1	G3755479	1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS698167880	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858	76.252261	2019-01-13	07:25:00	obsr464023	S51619939	Traveling	P22	EBIRD_IND	216	4.55		15	1	G3755479	1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS698211164	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858	76.252261	2019-01-13	07:25:00	obsr1010040	S51661661	Traveling	P22	EBIRD_IND	216	4.55		15	1	G3755479	1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS698196797	2019-01-16 09:44:56.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858	76.252261	2019-01-13	07:25:00	obsr544111	S51660736	Traveling	P22	EBIRD_IND	216	4.55		15	1	G3755479	1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS703920271	2019-01-28 10:13:57.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakudy Road, Ernakulam, Kerala, IN (10.064, 76.255)	L8270785	P	10.0640668	76.2552305	2019-01-27	07:10:00	obsr823368	S52131385	Traveling	P22	EBIRD_IND	45	2		4	1	G3807028	0	0	0			Identified with the help of filed book	
URN:CornellLabOfOrnithology:EBIRD:OBS699340791	2019-01-17 08:23:58.0	23901	species	Booted Warbler	Iduna caligata			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadamakkudy	L5004724	H	10.064858	76.252261	2019-01-13	07:25:00	obsr778170	S51757532	Traveling	P22	EBIRD_IND	216	4.55		15	1	G3755479	1	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS700630321	2019-01-21 00:23:46.0	7823	species	Brahminy Kite	Haliastur indus			61				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Puthuvype Beach - Valappu Road, Vypin, Kerala, IN (10.007, 76.218)	L6422299	P	10.0067417	76.21817	2019-01-20	10:18:00	obsr556980	S51863711	Traveling	P22	EBIRD	120	4.21		2	1	G3782438	0	0	0		AWC count at 4 points along a 4km stretch at Puthuvype on Vypeen Island, Cochin. --Salt water marshes and seafront. 40-50% coverage. --Human activity, LNG terminal,  garbage and traffic are disturbance and threat for the birds. 	Soaring in large groups	
URN:CornellLabOfOrnithology:EBIRD:OBS700923405	2019-01-21 00:23:46.0	7823	species	Brahminy Kite	Haliastur indus			61				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Puthuvype Beach - Valappu Road, Vypin, Kerala, IN (10.007, 76.218)	L6422299	P	10.0067417	76.21817	2019-01-20	10:18:00	obsr1196810	S51887325	Traveling	P22	EBIRD	120	4.21		2	1	G3782438	0	0	0		AWC count at 4 points along a 4km stretch at Puthuvype on Vypeen Island, Cochin. --Salt water marshes and seafront. 40-50% coverage. --Human activity, LNG terminal,  garbage and traffic are disturbance and threat for the birds. 	Soaring in large groups	
URN:CornellLabOfOrnithology:EBIRD:OBS699048096	2019-01-19 08:28:28.0	26513	species	Brown-breasted Flycatcher	Muscicapa muttui			5				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-12	07:15:00	obsr543220	S51732548	Traveling	P22	EBIRD_IND	660	15		2	1		1	0	0			Photographed multiple times and seen at different areas of the park, conservative estimate	
URN:CornellLabOfOrnithology:EBIRD:OBS705041610	2019-02-03 13:03:27.0	26513	species	Brown-breasted Flycatcher	Muscicapa muttui			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Amrita Lane, Kalady Malayattoor Road, Kerala, IN (10.186, 76.481)	L8400382	P	10.1855382	76.4810602	2019-01-31	09:10:00	obsr630137	S52233478	Stationary	P21	EBIRD	1			1	1		1	0	0		Medium sized flycatcher with large eye, long and thin bill, brown upperparts. Id confirmed by Praveen J (IndianBirds).	Medium sized flycatcher with large eye, long and thin bill, brown upper parts. Id confirmed by Praveen J (IndianBirds).	
URN:CornellLabOfOrnithology:EBIRD:OBS701758380	2019-02-10 10:11:57.0	18869	species	Brown Shrike	Lanius cristatus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad WLS--Salim Ali Trail	L6442070	H	10.1323737	76.687333	2019-01-19	10:42:00	obsr946757	S51923716	Traveling	P22	EBIRD	420	9.656		4	0		0	0	0			Found at Salim ali trail	
URN:CornellLabOfOrnithology:EBIRD:OBS707625358	2019-02-07 09:19:16.0	18869	species	Brown Shrike	Lanius cristatus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-04	06:30:00	obsr636334	S52460211	Traveling	P22	EBIRD_IND	660	10		5	1	G3835576	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS695915509	2019-02-07 09:19:16.0	18869	species	Brown Shrike	Lanius cristatus			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekkad--Salim Ali Bird Sanctuary	L6363033	H	10.1312119	76.6871157	2019-01-04	06:30:00	obsr680862	S51469504	Traveling	P22	EBIRD_IND	660	10		5	1	G3835576	0	0	0				
URN:CornellLabOfOrnithology:EBIRD:OBS696469387	2019-01-10 00:38:45.0	18874	issf	Brown Shrike	Lanius cristatus	Brown Shrike (Philippine)	Lanius cristatus lucionensis	1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Nedumbassery Wetlands--Opposite CIAL TradeFair and Exhibition Centre	L2594251	H	10.1548752	76.3795152	2019-01-10	08:50:00	obsr885013	S51514996	Stationary	P21	EBIRD	28			1	0		0	0	0			Yes	
URN:CornellLabOfOrnithology:EBIRD:OBS696471563	2019-01-10 01:07:13.0	8593	species	Brown Wood-Owl	Strix leptogrammica			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kerala, IN (10.103, 76.701)	L8400571	P	10.1029361	76.7011983	2019-01-06	15:30:00	obsr973438	S51515173	Traveling	P22	EBIRD_IND	220	6		5	1	G3744548	0	0	0			On a tree in the jungle	
URN:CornellLabOfOrnithology:EBIRD:OBS696472057	2019-01-10 01:07:13.0	8593	species	Brown Wood-Owl	Strix leptogrammica			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kerala, IN (10.103, 76.701)	L8400571	P	10.1029361	76.7011983	2019-01-06	15:30:00	obsr1104011	S51515208	Traveling	P22	EBIRD_IND	220	6		5	1	G3744548	0	0	0			On a tree in the jungle	
URN:CornellLabOfOrnithology:EBIRD:OBS699098445	2019-01-16 13:27:18.0	8593	species	Brown Wood-Owl	Strix leptogrammica			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad--GLPS Palamattam	L4187485	H	10.1044563	76.7048446	2019-01-08	12:23:00	obsr596603	S51610090	Traveling	P22	EBIRD	202	1.175		3	1		1	0	0			A pair was seen perched on the same branch	
URN:CornellLabOfOrnithology:EBIRD:OBS693584858	2019-01-13 01:42:08.0	8593	species	Brown Wood-Owl	Strix leptogrammica			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad--Soma Birds Lagoon	L3648178	H	10.0976736	76.7158967	2019-01-04	15:41:00	obsr188371	S51297507	Traveling	P22	EBIRD	381	8		3	1	G3721034	1	0	0			Photos	
URN:CornellLabOfOrnithology:EBIRD:OBS693614956	2019-01-13 01:44:18.0	8593	species	Brown Wood-Owl	Strix leptogrammica			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					(10.0976,76.7169)	L8365724	P	10.097632	76.716917	2019-01-04	15:41:00	obsr1159040	S51300078	Traveling	P22	EBIRD	381	8		3	1	G3721034	1	0	0			Photos	
URN:CornellLabOfOrnithology:EBIRD:OBS702109122	2019-02-11 03:51:07.0	8593	species	Brown Wood-Owl	Strix leptogrammica			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad	L8478813	P	10.1029459	76.7013173	2019-01-21	06:45:00	obsr652032	S51957668	Traveling	P22	EBIRD	420	15		3	1		1	0	0			Found at Thattekad Salim ali bird santuary	
