	GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	Unnamed: 46
60	URN:CornellLabOfOrnithology:EBIRD:OBS704545821	2019-02-02 08:33:40.0	6391	species	Caspian Tern	Hydroprogne caspia			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kochi--Kandakkadavu Wetland	L2639131	H	9.861369999999999	76.27773	2019-01-29	16:05:00	obsr809396	S52191217	Traveling	P22	EBIRD	50.0	0.966		2	1	G3812120	0	0	0			Single bird with gulls	
62	URN:CornellLabOfOrnithology:EBIRD:OBS697264510	2019-01-12 22:04:58.0	6391	species	Caspian Tern	Hydroprogne caspia			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kochi--Kandakkadavu Wetland	L2639131	H	9.861369999999999	76.27773	2019-01-12	16:42:00	obsr527144	S51585812	Traveling	P22	EBIRD	92.0	0.95		2	1	G3751138	1	0	0			Photographed	
68	URN:CornellLabOfOrnithology:EBIRD:OBS694494370	2019-01-06 10:48:38.0	3089	species	Chestnut-winged Cuckoo	Clamator coromandus			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					(10.0976,76.7169)	L8365724	P	10.097632	76.71691700000001	2019-01-06	06:45:00	obsr1159040	S51370516	Incidental	P20	EBIRD				2	0	G3728695	0	0	0		Casual birding around grounds of Hornbill Camp plus along narrow access road walking ca. 1 mike NW of camp along Periyar R.	Seen well in binoculars then in spotting scope. Perched on tree limb in overgrown teak plantation, adjacent to large pond. Very like Pied Cuckoo but with large chestnut panels in wings.	
70	URN:CornellLabOfOrnithology:EBIRD:OBS697224409	2019-01-17 08:30:26.0	29425	species	Citrine Wagtail	Motacilla citreola			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadungamangalam Church Road, Thiruvankulam, Kerala, IN (9.938, 76.378)	L8412124	P	9.937628	76.37783320000001	2019-01-12	07:34:00	obsr823367	S51582386	Traveling	P22	EBIRD_IND	20.0	0.3		3	1	G3769550	0	0	0			It was identified by seeing it's specifications such as yellow color over the head. We had seen this bird on several times from Gujarat and photographed from there. So it was easy to identify the bird	
74	URN:CornellLabOfOrnithology:EBIRD:OBS705020493	2019-01-31 11:36:00.0	29425	species	Citrine Wagtail	Motacilla citreola			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadungamangalam Church Road, Thiruvankulam, Kerala, IN (9.938, 76.378)	L8412124	P	9.937628	76.37783320000001	2019-01-27	13:30:00	obsr706334	S52231584	Traveling	P22	EBIRD_IND	35.0	3.219		3	1	G3815604	0	0	0			easily identified with the special feature of yellow color over the head portion, i have seen this bird in the same place many times and listed also	
75	URN:CornellLabOfOrnithology:EBIRD:OBS699746025	2019-01-18 10:32:30.0	29425	species	Citrine Wagtail	Motacilla citreola			1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Kadungamangalam Church Road, Thiruvankulam, Kerala, IN (9.938, 76.378)	L8412124	P	9.937628	76.37783320000001	2019-01-16	15:30:00	obsr823368	S51792647	Traveling	P22	EBIRD_IND	70.0	1.609		2	1	G3772626	0	0	0			identified with the help of field book and we have got this bird from the same place earlier	
78	URN:CornellLabOfOrnithology:EBIRD:OBS698180432	2019-01-16 09:39:37.0	29425	species	Citrine Wagtail	Motacilla citreola			2				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thiruvankulam--Kavaleeswaram (Paddy Field)	L3385882	H	9.9416101	76.3785276	2019-01-13	07:28:00	obsr845684	S51659713	Stationary	P21	EBIRD	15.0			5	1	G3759854	1	0	0			Photographed	
80	URN:CornellLabOfOrnithology:EBIRD:OBS698174105	2019-01-16 09:39:37.0	29425	species	Citrine Wagtail	Motacilla citreola			3				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thiruvankulam--Kavaleeswaram (Paddy Field)	L3385882	H	9.9416101	76.3785276	2019-01-13	07:58:00	obsr527144	S51659306	Stationary	P21	EBIRD	15.0			5	1	G3759878	0	0	0			PHOTOGRAPHED	
96	URN:CornellLabOfOrnithology:EBIRD:OBS698188838	2019-01-16 09:39:37.0	29407	issf	Western Yellow Wagtail	Motacilla flava	Western Yellow Wagtail (beema)	Motacilla flava beema	1				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thiruvankulam--Kavaleeswaram (Paddy Field)	L3385882	H	9.9416101	76.3785276	2019-01-13	08:58:00	obsr1196810	S51660224	Stationary	P21	EBIRD	15.0			5	1	G3759888	0	0	0				
103	URN:CornellLabOfOrnithology:EBIRD:OBS698344103	2019-01-14 12:49:33.0	2083	species	Asian Emerald Dove	Chalcophaps indica			10				India	IN	Kerala	IN-KL	Ernakulam	IN-KL-ER					Thattekad Bird Sanctuary	L7479727	P	10.129807199999998	76.68710229999999	2019-01-14	14:00:00	obsr1051711	S51673486	Traveling	P22	EBIRD	480.0	10.0		5	1	G3761271	0	0	0			seen a flock on the ground which flew away	
